Default Dataset,
X,Y
0.007734806629834279,0
0.007734806629834279,70.82683307332292
0.015469613259668558,71.45085803432139
0.015469613259668558,125.11700468018721
0.015469613259668558,115.13260530421218
0.023204419889502836,95.16380655226209
0.023204419889502836,87.05148205928236
0.04640883977900556,82.68330733229328
0.0696132596685084,86.11544461778472
0.08508287292817696,89.85959438377535
0.10055248618784551,93.60374414976599
0.11602209944751385,97.0358814352574
0.1392265193370168,100.78003120124804
0.16243093922651952,104.52418096723868
0.20110497237569058,107.33229329173166
0.2320441988950277,108.58034321372854
0.31712707182320465,108.89235569422777
0.3944751381215472,109.82839313572542
0.47182320441988956,110.7644305772231
0.541436464088398,112.01248049921998
0.6342541436464091,112.32449297971918
0.7038674033149173,112.01248049921998
0.7889502762430942,111.38845553822154
0.874033149171271,110.7644305772231
0.9668508287292821,109.82839313572542
1.0674033149171274,108.89235569422777
1.1370165745856353,107.33229329173166
1.2066298342541442,105.46021840873635
1.2762430939226521,103.58814352574103
1.2994475138121546,104.21216848673947
1.3226519337016576,102.34009360374415
1.3767955801104972,102.34009360374415
1.4541436464088402,100.78003120124804
1.5314917127071828,99.53198127925116
1.5933701657458565,99.21996879875195
1.6475138121546962,97.97191887675507
1.7325966850828733,96.72386895475819
1.8022099447513817,95.47581903276131
1.8795580110497243,94.53978159126365
1.964640883977901,93.91575663026521
2.034254143646409,92.97971918876755
2.0961325966850834,92.3556942277691
2.158011049723757,92.04368174726989
2.212154696132597,90.17160686427457
2.274033149171271,88.29953198127924
2.3359116022099453,86.42745709828392
2.3823204419889503,85.17940717628704
2.413259668508288,86.42745709828392
2.4441988950276246,87.05148205928236
2.513812154696133,87.05148205928236
2.575690607734807,87.36349453978158
2.6375690607734814,87.36349453978158
2.668508287292818,87.98751950078002
2.70718232044199,87.36349453978158
2.8000000000000007,87.05148205928236
2.869613259668509,87.6755070202808
2.923756906077349,87.36349453978158
2.9856353591160234,87.36349453978158
2.9856353591160234,87.98751950078002
3.0707182320441992,87.98751950078002
3.1248618784530393,89.2355694227769
3.1867403314917135,89.2355694227769
3.2718232044198903,89.85959438377535
3.349171270718233,90.17160686427457
3.4342541436464096,90.17160686427457
3.5270718232044196,90.795631825273
3.565745856353592,91.73166926677067
3.604419889502763,91.10764430577223
3.6662983425414373,91.73166926677067
3.759116022099448,92.04368174726989
3.805524861878453,93.29173166926677
3.8287292817679566,92.3556942277691
3.9138121546961333,92.66770670826833
4.014364640883978,92.97971918876755
4.107182320441989,92.97971918876755
4.192265193370166,93.29173166926677
4.292817679558011,93.29173166926677
4.3701657458563545,93.29173166926677
4.4707182320442,93.60374414976599
4.548066298342541,93.60374414976599
4.640883977900553,93.91575663026521
4.741436464088399,93.91575663026521
4.826519337016575,93.91575663026521
4.919337016574586,93.91575663026521
5.004419889502763,93.91575663026521
5.089502762430939,93.91575663026521
5.166850828729283,93.91575663026521
5.236464088397791,94.22776911076443
5.298342541436464,93.60374414976599
5.383425414364642,93.60374414976599
5.445303867403316,93.60374414976599
5.483977900552487,93.60374414976599
5.576795580110498,93.29173166926677
5.654143646408841,92.97971918876755
5.739226519337017,92.66770670826833
5.824309392265194,92.97971918876755
